gid,id,nm_bai,nome
968,400020892,Nova Suiça,Nova Suiça
969,400034292,Parque Amazônia,Parque Amazônia
970,400046211,,Gleba
973,400028792,Rosa,Vila Rosa
974,400046430,Bela Goiania,Res. Bela Goiânia
975,400014692,Adélia,Vila Adélia
976,400014992,Nova Canaã,Vila Nova Canaã
977,400045965,Carolina Parque Extensão,Carolina Parque Extensão
979,400046087,Três Marias,Setor Três Marias
980,400014492,Adélia I e II,Vila Adéllia I e III
981,400046074,Santo Hilário - Complemento,Santo Hilário - Complemento
982,400045953,Real,Jd. Real
983,400046356,,Setor Três Marias I
984,400046081,Alphaville,Jd. Alphaville
985,400046170,Alphaville,Jd. Alphavilly I
986,400046089,Salinos,Chácara Salinos
987,400045922,Vereda dos Buritis,Res. Vereda dos Buritis
988,400006792,Santos Dumont,Setor Santos Dumont
1030,400046383,,Gleba
991,400009692,das Amendoeiras,Parque das Amendoeiras
992,400046078,das Amendoeiras I,Parque das Amendoeiras I
993,400046095,Buritis,Chácara Buritis
1032,400016992,Morada Nova,Conjunto Morada Nova
996,400046291,de Recreio São Joaquim,Chácara de Recreio São Joaquim
997,400026192,Industrial João Braz,Parque Industrial João Braz
998,400046139,Goiânia Golfe Clube,Res. Goiânia Golfe Clube
999,400019292,Vera Cruz,Vila Vera Cruz
1000,400030192,Perdiz,Vila Perdiz
1001,400030092,Viandelli,Vila Viandelli
1002,400045902,,Chácara Tocafundo
1003,400031092,Norte Ferroviário II,Setor Norte Ferroviário II
1004,400017992,Bethel,Vila Bethel
1005,400011192,Leste Vila Nova,Setor Leste Vila Nova
1007,400031192,Norte Ferroviário,Setor Norte Ferroviário
1008,400011292,Nova Vila,Nova Vila
1010,400011092,Negrão de Lima,Setor Negrão de Lima
1011,400010192,Califórnia - Parque Industrial,Jd. Califórnia - Parque Industrial
1012,400046116,Antônio Barbosa,Res. Antônio Barbosa
1013,400003192,Shangri-la,Chácara Shangri-la
1014,400046056,Monte Pascoal,Res. Monte Pascoal
1015,400046445,João Bueno,Res. João Bueno
1016,400046097,São José,Jd. São José
1017,400012592,Santa Bárbara,Chácara Santa Bárbara
1018,400014192,Goiá 2,Goiá 2
1019,400013992,Goiá,Goiá
1020,400032292,,Gleba
1033,400016692,Aurora,Vila Aurora
1023,400045897,Retiro,Chácara Retiro
1027,400046452,Lageado,Res. Lageado
1029,400038292,,Gleba
1035,400026092,Santa Rita,Vila Santa Rita
1036,400046623,Santa Rita Acréscimo,Vila Santa Rita Acréscimo
1051,400046108,Hawaí,Res. Hawai
1037,400025492,Industrial Mooca,Industrial Mooca
