,tipo,ordem_dia,data,cd_geocmu,municipios,confirmados,li_80,ls_80,li_95,ls_95
65,Obs,9,03/26/2020,52,GOIÁS,38,NA,NA,NA,NA
66,Obs,9,03/26/2020,5201108,ANÁPOLIS,3,NA,NA,NA,NA
67,Obs,9,03/26/2020,5201405,APARECIDA DE GOIÂNIA,2,NA,NA,NA,NA
68,Obs,5,03/26/2020,5205109,CATALÃO,1,NA,NA,NA,NA
69,Obs,9,03/26/2020,5208707,GOIÂNIA,21,NA,NA,NA,NA
70,Obs,9,03/26/2020,5211909,JATAÍ,1,NA,NA,NA,NA
71,Obs,2,03/26/2020,5212501,LUZIÂNIA,1,NA,NA,NA,NA
72,Obs,9,03/26/2020,5218805,RIO VERDE,6,NA,NA,NA,NA
73,Obs,2,03/26/2020,5220603,SILVÂNIA,1,NA,NA,NA,NA
74,Obs,3,03/26/2020,5221858,VALPARAÍSO DE GOIÁS,2,NA,NA,NA,NA
75,Obs,9,03/26/2020,5300108,BRASÍLIA,198,NA,NA,NA,NA
76,Obs,10,2020-03-27,52,GOIÁS,43,NA,NA,NA,NA
77,Obs,10,2020-03-27,5201108,ANÁPOLIS,3,NA,NA,NA,NA
78,Obs,10,2020-03-27,5201405,APARECIDA DE GOIÂNIA,2,NA,NA,NA,NA
79,Obs,6,2020-03-27,5205109,CATALÃO,1,NA,NA,NA,NA
80,Obs,10,2020-03-27,5208707,GOIÂNIA,26,NA,NA,NA,NA
81,Obs,10,2020-03-27,5211909,JATAÍ,1,NA,NA,NA,NA
82,Obs,3,2020-03-27,5212501,LUZIÂNIA,1,NA,NA,NA,NA
83,Obs,10,2020-03-27,5218805,RIO VERDE,6,NA,NA,NA,NA
84,Obs,3,2020-03-27,5220603,SILVÂNIA,1,NA,NA,NA,NA
85,Obs,4,2020-03-27,5221858,VALPARAÍSO DE GOIÁS,2,NA,NA,NA,NA
86,Obs,10,2020-03-27,5300108,BRASÍLIA,240,NA,NA,NA,NA
87,Obs,11,2020-03-28,52,GOIÁS,55,NA,NA,NA,NA
88,Obs,1,2020-03-28,5200258,ÁGUAS LINDAS DE GOIÁS,1,NA,NA,NA,NA
89,Obs,11,2020-03-28,5201108,ANÁPOLIS,4,NA,NA,NA,NA
90,Obs,11,2020-03-28,5201405,APARECIDA DE GOIÂNIA,2,NA,NA,NA,NA
91,Obs,7,2020-03-28,5205109,CATALÃO,1,NA,NA,NA,NA
92,Obs,1,2020-03-28,5208608,GOIANÉSIA,1,NA,NA,NA,NA
93,Obs,11,2020-03-28,5208707,GOIÂNIA,33,NA,NA,NA,NA
94,Obs,11,2020-03-28,5211909,JATAÍ,2,NA,NA,NA,NA
95,Obs,4,2020-03-28,5212501,LUZIÂNIA,1,NA,NA,NA,NA
96,Obs,11,2020-03-28,5218805,RIO VERDE,7,NA,NA,NA,NA
97,Obs,4,2020-03-28,5220603,SILVÂNIA,1,NA,NA,NA,NA
98,Obs,5,2020-03-28,5221858,VALPARAÍSO DE GOIÁS,2,NA,NA,NA,NA
99,Obs,11,2020-03-28,5300108,BRASÍLIA,258,NA,NA,NA,NA
100,Obs,12,2020-03-29,52,GOIÁS,55,NA,NA,NA,NA
101,Obs,2,2020-03-29,5200258,ÁGUAS LINDAS DE GOIÁS,1,NA,NA,NA,NA
102,Obs,12,2020-03-29,5201108,ANÁPOLIS,4,NA,NA,NA,NA
103,Obs,12,2020-03-29,5201405,APARECIDA DE GOIÂNIA,2,NA,NA,NA,NA
104,Obs,8,2020-03-29,5205109,CATALÃO,1,NA,NA,NA,NA
105,Obs,2,2020-03-29,5208608,GOIANÉSIA,1,NA,NA,NA,NA
106,Obs,12,2020-03-29,5208707,GOIÂNIA,33,NA,NA,NA,NA
107,Obs,12,2020-03-29,5211909,JATAÍ,2,NA,NA,NA,NA
108,Obs,5,2020-03-29,5212501,LUZIÂNIA,1,NA,NA,NA,NA
109,Obs,12,2020-03-29,5218805,RIO VERDE,7,NA,NA,NA,NA
110,Obs,5,2020-03-29,5220603,SILVÂNIA,1,NA,NA,NA,NA
111,Obs,6,2020-03-29,5221858,VALPARAÍSO DE GOIÁS,2,NA,NA,NA,NA
112,Obs,12,2020-03-29,5300108,BRASÍLIA,260,NA,NA,NA,NA
