gip,ordem_dia,data,codigo_estadual,estados,obitos,novos_casos,total_casos
656,25,2020-04-07,28,SE,4,4,36
657,14,2020-03-27,28,SE,0,0,16
658,11,2020-03-24,28,SE,0,5,15
659,18,2020-03-31,28,SE,0,2,20
660,7,2020-03-20,28,SE,0,1,7
661,23,2020-04-05,28,SE,3,0,32
662,12,2020-03-25,28,SE,0,1,16
663,24,2020-04-06,28,SE,4,0,32
664,6,2020-03-19,28,SE,0,0,6
665,2,2020-03-15,28,SE,0,0,1
666,3,2020-03-16,28,SE,0,4,5
667,5,2020-03-18,28,SE,0,1,6
668,20,2020-04-02,28,SE,2,2,24
669,21,2020-04-03,28,SE,2,3,27
670,8,2020-03-21,28,SE,0,3,10
671,10,2020-03-23,28,SE,0,0,10
672,16,2020-03-29,28,SE,0,0,16
673,17,2020-03-30,28,SE,0,2,18
674,9,2020-03-22,28,SE,0,0,10
675,19,2020-04-01,28,SE,0,2,22
676,1,2020-02-25,35,SP,0,1,1
677,34,2020-04-04,35,SP,260,418,4466
678,2,2020-02-29,35,SP,0,1,2
679,24,2020-03-25,35,SP,48,52,862
680,3,2020-03-04,35,SP,0,1,3
681,37,2020-04-07,35,SP,371,816,5682
682,6,2020-03-07,35,SP,0,3,13
683,27,2020-03-28,35,SP,84,183,1406
684,4,2020-03-05,35,SP,0,3,6
685,29,2020-03-30,35,SP,113,66,1517
686,30,2020-03-31,35,SP,136,822,2339
687,14,2020-03-15,35,SP,0,71,136
688,20,2020-03-21,35,SP,15,63,459
689,5,2020-03-06,35,SP,0,4,10
690,15,2020-03-16,35,SP,0,16,152
691,22,2020-03-23,35,SP,30,114,745
692,23,2020-03-24,35,SP,40,65,810
693,36,2020-04-06,35,SP,304,246,4866
694,25,2020-03-26,35,SP,58,190,1052
695,28,2020-03-29,35,SP,98,45,1451
696,16,2020-03-17,35,SP,1,12,164
697,13,2020-03-14,35,SP,0,1,65
698,8,2020-03-09,35,SP,0,0,16
699,7,2020-03-08,35,SP,0,3,16
700,17,2020-03-18,35,SP,4,80,244
701,19,2020-03-20,35,SP,9,109,396
702,32,2020-04-02,35,SP,188,525,3506
703,9,2020-03-10,35,SP,0,3,19
704,21,2020-03-22,35,SP,22,172,631
705,35,2020-04-05,35,SP,275,154,4620
706,18,2020-03-19,35,SP,4,43,287
707,31,2020-04-01,35,SP,164,642,2981
708,26,2020-03-27,35,SP,68,171,1223
709,12,2020-03-13,35,SP,0,0,64
710,33,2020-04-03,35,SP,219,542,4048
711,11,2020-03-12,35,SP,0,19,64
712,10,2020-03-11,35,SP,0,26,45
713,19,2020-04-05,17,TO,0,1,17
714,11,2020-03-28,17,TO,0,1,9
715,12,2020-03-29,17,TO,0,0,9
716,1,2020-03-18,17,TO,0,1,1
717,9,2020-03-26,17,TO,0,1,8
718,14,2020-03-31,17,TO,0,1,12
719,4,2020-03-21,17,TO,0,1,2
720,8,2020-03-25,17,TO,0,0,7
721,5,2020-03-22,17,TO,0,3,5
722,7,2020-03-24,17,TO,0,0,7
723,18,2020-04-04,17,TO,0,3,16
724,15,2020-04-01,17,TO,0,0,12
725,13,2020-03-30,17,TO,0,2,11
726,10,2020-03-27,17,TO,0,0,8
727,20,2020-04-06,17,TO,0,1,18
728,2,2020-03-19,17,TO,0,0,1
729,3,2020-03-20,17,TO,0,0,1
730,21,2020-04-07,17,TO,0,3,21
731,17,2020-04-03,17,TO,0,1,13
732,6,2020-03-23,17,TO,0,2,7
733,16,2020-04-02,17,TO,0,0,12
