,cd_geocmu,data,ordem_dia,localidade,novos_casos,MM7,variacao_per_MM7_14dias,tendencia_novos_casos
1,52,2020-03-12,1,GOIÁS,3,,,
2,5208707,2020-03-12,1,GOIÂNIA,2,,,
3,5218805,2020-03-12,1,RIO VERDE,1,,,
4,52,2020-03-13,2,GOIÁS,0,,,
5,5208707,2020-03-13,2,GOIÂNIA,0,,,
6,5218805,2020-03-13,2,RIO VERDE,0,,,
7,52,2020-03-14,3,GOIÁS,1,,,
8,5208707,2020-03-14,3,GOIÂNIA,1,,,
9,5218805,2020-03-14,3,RIO VERDE,0,,,
10,52,2020-03-15,4,GOIÁS,0,,,
11,5208707,2020-03-15,4,GOIÂNIA,0,,,
12,5218805,2020-03-15,4,RIO VERDE,0,,,
13,52,2020-03-16,5,GOIÁS,5,,,
14,5201108,2020-03-16,1,ANÁPOLIS,2,,,
15,5208707,2020-03-16,5,GOIÂNIA,2,,,
16,5218805,2020-03-16,5,RIO VERDE,1,,,
17,52,2020-03-17,6,GOIÁS,1,,,
18,5201108,2020-03-17,2,ANÁPOLIS,0,,,
19,5208707,2020-03-17,6,GOIÂNIA,0,,,
20,5218805,2020-03-17,6,RIO VERDE,1,,,
21,52,2020-03-18,7,GOIÁS,2,1.71,,
22,5201108,2020-03-18,3,ANÁPOLIS,0,,,
23,5201405,2020-03-18,1,APARECIDA DE GOIÂNIA,1,,,
24,5208707,2020-03-18,7,GOIÂNIA,0,0.71,,
25,5211909,2020-03-18,1,JATAÍ,1,,,
26,5218805,2020-03-18,7,RIO VERDE,0,0.43,,
27,5300108,2020-03-18,1,BRASÍLIA,34,,,
28,52,2020-03-19,8,GOIÁS,2,1.57,,
29,5201108,2020-03-19,4,ANÁPOLIS,0,,,
30,5201405,2020-03-19,2,APARECIDA DE GOIÂNIA,0,,,
31,5208707,2020-03-19,8,GOIÂNIA,2,0.71,,
32,5211909,2020-03-19,2,JATAÍ,0,,,
33,5218805,2020-03-19,8,RIO VERDE,0,0.29,,
34,5300108,2020-03-19,2,BRASÍLIA,8,,,
35,52,2020-03-20,9,GOIÁS,2,1.86,,
36,5201108,2020-03-20,5,ANÁPOLIS,0,,,
37,5201405,2020-03-20,3,APARECIDA DE GOIÂNIA,0,,,
38,5208707,2020-03-20,9,GOIÂNIA,2,"1,00",,
39,5211909,2020-03-20,3,JATAÍ,0,,,
40,5218805,2020-03-20,9,RIO VERDE,0,0.29,,
41,5300108,2020-03-20,3,BRASÍLIA,45,,,
42,52,2020-03-21,10,GOIÁS,2,"2,00",,
43,5201108,2020-03-21,6,ANÁPOLIS,0,,,
44,5201405,2020-03-21,4,APARECIDA DE GOIÂNIA,0,,,
45,5208707,2020-03-21,10,GOIÂNIA,0,0.86,,
46,5211909,2020-03-21,4,JATAÍ,0,,,
47,5218805,2020-03-21,10,RIO VERDE,2,0.57,,
48,5300108,2020-03-21,4,BRASÍLIA,25,,,
49,52,2020-03-22,11,GOIÁS,3,2.43,,
50,5201108,2020-03-22,7,ANÁPOLIS,0,0.29,,
51,5201405,2020-03-22,5,APARECIDA DE GOIÂNIA,0,,,
52,5205109,2020-03-22,1,CATALÃO,1,,,
53,5208707,2020-03-22,11,GOIÂNIA,2,1.14,,
54,5211909,2020-03-22,5,JATAÍ,0,,,
55,5218805,2020-03-22,11,RIO VERDE,0,0.57,,
56,5300108,2020-03-22,5,BRASÍLIA,5,,,
57,52,2020-03-23,12,GOIÁS,2,"2,00",,
58,5201108,2020-03-23,8,ANÁPOLIS,0,"0,00",,
59,5201405,2020-03-23,6,APARECIDA DE GOIÂNIA,1,,,
60,5205109,2020-03-23,2,CATALÃO,0,,,
61,5208707,2020-03-23,12,GOIÂNIA,1,"1,00",,
62,5211909,2020-03-23,6,JATAÍ,0,,,
63,5218805,2020-03-23,12,RIO VERDE,0,0.43,,
64,5300108,2020-03-23,6,BRASÍLIA,21,,,
65,52,2020-03-24,13,GOIÁS,5,2.57,,
66,5201108,2020-03-24,9,ANÁPOLIS,1,0.14,,
67,5201405,2020-03-24,7,APARECIDA DE GOIÂNIA,0,0.29,,
68,5205109,2020-03-24,3,CATALÃO,0,,,
69,5208707,2020-03-24,13,GOIÂNIA,3,1.43,,
70,5211909,2020-03-24,7,JATAÍ,0,0.14,,
71,5218805,2020-03-24,13,RIO VERDE,0,0.29,,
72,5221858,2020-03-24,1,VALPARAÍSO DE GOIÁS,1,,,
73,5300108,2020-03-24,7,BRASÍLIA,8,20.86,,
74,52,2020-03-25,14,GOIÁS,4,2.86,,
75,5201108,2020-03-25,10,ANÁPOLIS,0,0.14,,
76,5201405,2020-03-25,8,APARECIDA DE GOIÂNIA,0,0.14,,
77,5205109,2020-03-25,4,CATALÃO,0,,,
78,5208707,2020-03-25,14,GOIÂNIA,0,1.43,,
79,5211909,2020-03-25,8,JATAÍ,0,"0,00",,
80,5212501,2020-03-25,1,LUZIÂNIA,1,,,
81,5218805,2020-03-25,14,RIO VERDE,1,0.43,,
82,5220603,2020-03-25,1,SILVÂNIA,0,,,
83,5221858,2020-03-25,2,VALPARAÍSO DE GOIÁS,1,,,
84,5300108,2020-03-25,8,BRASÍLIA,45,22.43,,
85,52,2020-03-26,15,GOIÁS,6,3.43,,
86,5201108,2020-03-26,11,ANÁPOLIS,0,0.14,,
87,5201405,2020-03-26,9,APARECIDA DE GOIÂNIA,0,0.14,,
88,5205109,2020-03-26,5,CATALÃO,0,,,
89,5208707,2020-03-26,15,GOIÂNIA,6,"2,00",,
90,5211909,2020-03-26,9,JATAÍ,0,"0,00",,
91,5212501,2020-03-26,2,LUZIÂNIA,0,,,
92,5218805,2020-03-26,15,RIO VERDE,0,0.43,,
93,5220603,2020-03-26,2,SILVÂNIA,0,,,
94,5221858,2020-03-26,3,VALPARAÍSO DE GOIÁS,0,,,
95,5300108,2020-03-26,9,BRASÍLIA,7,22.29,,
96,52,2020-03-27,16,GOIÁS,5,3.86,,
97,5201108,2020-03-27,12,ANÁPOLIS,0,0.14,,
98,5201405,2020-03-27,10,APARECIDA DE GOIÂNIA,0,0.14,,
99,5205109,2020-03-27,6,CATALÃO,0,,,
100,5208707,2020-03-27,16,GOIÂNIA,5,2.43,,
101,5211909,2020-03-27,10,JATAÍ,0,"0,00",,
102,5212501,2020-03-27,3,LUZIÂNIA,0,,,
103,5218805,2020-03-27,16,RIO VERDE,0,0.43,,
104,5220603,2020-03-27,3,SILVÂNIA,0,,,
105,5221858,2020-03-27,4,VALPARAÍSO DE GOIÁS,0,,,
106,5300108,2020-03-27,10,BRASÍLIA,42,21.86,,
107,52,2020-03-28,17,GOIÁS,12,5.29,,
108,5200258,2020-03-28,1,ÁGUAS LINDAS DE GOIÁS,1,,,
109,5201108,2020-03-28,13,ANÁPOLIS,1,0.29,,
110,5201405,2020-03-28,11,APARECIDA DE GOIÂNIA,0,0.14,,
111,5205109,2020-03-28,7,CATALÃO,0,0.14,,
112,5208608,2020-03-28,1,GOIANÉSIA,1,,,
113,5208707,2020-03-28,17,GOIÂNIA,7,3.43,,
114,5211909,2020-03-28,11,JATAÍ,1,0.14,,
115,5212501,2020-03-28,4,LUZIÂNIA,0,,,
116,5218805,2020-03-28,17,RIO VERDE,1,0.29,,
117,5220603,2020-03-28,4,SILVÂNIA,0,,,
118,5221858,2020-03-28,5,VALPARAÍSO DE GOIÁS,0,,,
119,5300108,2020-03-28,11,BRASÍLIA,18,20.86,,
120,52,2020-03-29,18,GOIÁS,0,4.86,,
121,5200258,2020-03-29,2,ÁGUAS LINDAS DE GOIÁS,0,,,
122,5201108,2020-03-29,14,ANÁPOLIS,0,0.29,,
123,5201405,2020-03-29,12,APARECIDA DE GOIÂNIA,0,0.14,,
124,5205109,2020-03-29,8,CATALÃO,0,"0,00",,
125,5208608,2020-03-29,2,GOIANÉSIA,0,,,
126,5208707,2020-03-29,18,GOIÂNIA,0,3.14,,
127,5211909,2020-03-29,12,JATAÍ,0,0.14,,
128,5212501,2020-03-29,5,LUZIÂNIA,0,,,
129,5218805,2020-03-29,18,RIO VERDE,0,0.29,,
130,5220603,2020-03-29,5,SILVÂNIA,0,,,
131,5221858,2020-03-29,6,VALPARAÍSO DE GOIÁS,0,,,
132,5300108,2020-03-29,12,BRASÍLIA,2,20.43,,
133,52,2020-03-30,19,GOIÁS,4,5.14,,
134,5200258,2020-03-30,3,ÁGUAS LINDAS DE GOIÁS,0,,,
135,5201108,2020-03-30,15,ANÁPOLIS,0,0.29,,
136,5201405,2020-03-30,13,APARECIDA DE GOIÂNIA,0,"0,00",,
137,5205109,2020-03-30,9,CATALÃO,0,"0,00",,
138,5208608,2020-03-30,3,GOIANÉSIA,0,,,
139,5208707,2020-03-30,19,GOIÂNIA,2,3.29,,
140,5211503,2020-03-30,1,ITUMBIARA,2,,,
141,5211909,2020-03-30,13,JATAÍ,0,0.14,,
142,5212501,2020-03-30,6,LUZIÂNIA,0,,,
143,5218805,2020-03-30,19,RIO VERDE,0,0.29,,
144,5220603,2020-03-30,6,SILVÂNIA,0,,,
145,5221858,2020-03-30,7,VALPARAÍSO DE GOIÁS,0,0.29,,
146,5300108,2020-03-30,13,BRASÍLIA,29,21.57,,
147,52,2020-03-31,20,GOIÁS,6,5.29,,
148,5200258,2020-03-31,4,ÁGUAS LINDAS DE GOIÁS,0,,,
149,5201108,2020-03-31,16,ANÁPOLIS,0,0.14,,
150,5201405,2020-03-31,14,APARECIDA DE GOIÂNIA,0,"0,00",,
151,5205109,2020-03-31,10,CATALÃO,0,"0,00",,
152,5208608,2020-03-31,4,GOIANÉSIA,0,,,
153,5208707,2020-03-31,20,GOIÂNIA,4,3.43,,
154,5211503,2020-03-31,2,ITUMBIARA,0,,,
155,5211909,2020-03-31,14,JATAÍ,0,0.14,,
156,5212501,2020-03-31,7,LUZIÂNIA,0,0.14,,
157,5216304,2020-03-31,1,PARANAIGUARA,1,,,
158,5218805,2020-03-31,20,RIO VERDE,0,0.29,,
159,5220603,2020-03-31,7,SILVÂNIA,0,"0,00",,
160,5221858,2020-03-31,8,VALPARAÍSO DE GOIÁS,1,0.29,,
161,5300108,2020-03-31,14,BRASÍLIA,28,24.43,,
162,52,2020-04-01,21,GOIÁS,8,5.86,70.73,crescente
163,5200258,2020-04-01,5,ÁGUAS LINDAS DE GOIÁS,0,,,
164,5201108,2020-04-01,17,ANÁPOLIS,0,0.14,,
165,5201405,2020-04-01,15,APARECIDA DE GOIÂNIA,0,"0,00",,
166,5204508,2020-04-01,1,CALDAS NOVAS,1,,,
167,5204607,2020-04-01,1,CAMPESTRE DE GOIÁS,1,,,
168,5205109,2020-04-01,11,CATALÃO,0,"0,00",,
169,5205497,2020-04-01,1,CIDADE OCIDENTAL,1,,,
170,5208608,2020-04-01,5,GOIANÉSIA,0,,,
171,5208707,2020-04-01,21,GOIÂNIA,3,3.86,81.48,crescente
172,5211503,2020-04-01,3,ITUMBIARA,0,,,
173,5211909,2020-04-01,15,JATAÍ,0,0.14,,
174,5212501,2020-04-01,8,LUZIÂNIA,0,"0,00",,
175,5216304,2020-04-01,2,PARANAIGUARA,0,,,
176,5218805,2020-04-01,21,RIO VERDE,0,0.14,"-200,00",decrescente
177,5220603,2020-04-01,8,SILVÂNIA,0,"0,00",,
178,5221403,2020-04-01,1,TRINDADE,1,,,
179,5221858,2020-04-01,9,VALPARAÍSO DE GOIÁS,1,0.29,,
180,5300108,2020-04-01,15,BRASÍLIA,53,25.57,,
181,52,2020-04-02,22,GOIÁS,0,"5,00",68.57,crescente
182,5200258,2020-04-02,6,ÁGUAS LINDAS DE GOIÁS,0,,,
183,5201108,2020-04-02,18,ANÁPOLIS,0,0.14,,
184,5201405,2020-04-02,16,APARECIDA DE GOIÂNIA,0,"0,00",,
185,5204607,2020-04-02,2,CAMPESTRE DE GOIÁS,0,,,
186,5205109,2020-04-02,12,CATALÃO,0,"0,00",,
187,5205497,2020-04-02,2,CIDADE OCIDENTAL,0,,,
188,5208608,2020-04-02,6,GOIANÉSIA,0,,,
189,5208707,2020-04-02,22,GOIÂNIA,1,3.14,77.27,crescente
190,5211503,2020-04-02,4,ITUMBIARA,0,,,
191,5211909,2020-04-02,16,JATAÍ,0,0.14,,
192,5212501,2020-04-02,9,LUZIÂNIA,0,"0,00",,
193,5216304,2020-04-02,3,PARANAIGUARA,0,,,
194,5218805,2020-04-02,22,RIO VERDE,0,0.14,"-100,00",decrescente
195,5220603,2020-04-02,9,SILVÂNIA,0,"0,00",,
196,5221403,2020-04-02,2,TRINDADE,0,,,
197,5221858,2020-04-02,10,VALPARAÍSO DE GOIÁS,0,0.29,,
198,5300108,2020-04-02,16,BRASÍLIA,30,28.86,,
199,52,2020-04-03,23,GOIÁS,14,6.29,70.45,crescente
200,5200258,2020-04-03,7,ÁGUAS LINDAS DE GOIÁS,0,0.14,,
201,5201108,2020-04-03,19,ANÁPOLIS,0,0.14,,
202,5201405,2020-04-03,17,APARECIDA DE GOIÂNIA,2,0.29,,
203,5203500,2020-04-03,1,BOM JESUS DE GOIÁS,1,,,
204,5204607,2020-04-03,3,CAMPESTRE DE GOIÁS,0,,,
205,5205109,2020-04-03,13,CATALÃO,0,"0,00",,
206,5205497,2020-04-03,3,CIDADE OCIDENTAL,0,,,
207,5208608,2020-04-03,7,GOIANÉSIA,0,0.14,,
208,5208707,2020-04-03,23,GOIÂNIA,7,3.43,70.83,crescente
209,5211503,2020-04-03,5,ITUMBIARA,0,,,
210,5211909,2020-04-03,17,JATAÍ,0,0.14,,
211,5212501,2020-04-03,10,LUZIÂNIA,0,"0,00",,
212,5215009,2020-04-03,1,NOVA VENEZA,1,,,
213,5216304,2020-04-03,4,PARANAIGUARA,0,,,
214,5218805,2020-04-03,23,RIO VERDE,0,0.14,"-100,00",decrescente
215,5220108,2020-04-03,1,SÃO LUÍS DE MONTES BELOS,1,,,
216,5220454,2020-04-03,1,SENADOR CANEDO,1,,,
217,5220603,2020-04-03,10,SILVÂNIA,0,"0,00",,
218,5221403,2020-04-03,3,TRINDADE,0,,,
219,5221858,2020-04-03,11,VALPARAÍSO DE GOIÁS,1,0.43,,
220,5300108,2020-04-03,17,BRASÍLIA,22,"26,00",,
221,52,2020-04-04,24,GOIÁS,14,6.57,69.57,crescente
222,5200258,2020-04-04,8,ÁGUAS LINDAS DE GOIÁS,0,"0,00",,
223,5201108,2020-04-04,20,ANÁPOLIS,2,0.29,,
224,5201405,2020-04-04,18,APARECIDA DE GOIÂNIA,-3,0.29,,
225,5203500,2020-04-04,2,BOM JESUS DE GOIÁS,0,,,
226,5204607,2020-04-04,4,CAMPESTRE DE GOIÁS,0,,,
227,5205109,2020-04-04,14,CATALÃO,0,"0,00",,
228,5205497,2020-04-04,4,CIDADE OCIDENTAL,0,,,
229,5208608,2020-04-04,8,GOIANÉSIA,0,"0,00",,
230,5208707,2020-04-04,24,GOIÂNIA,15,4.57,81.25,crescente
231,5211503,2020-04-04,6,ITUMBIARA,0,,,
232,5211909,2020-04-04,18,JATAÍ,0,"0,00",,
233,5212501,2020-04-04,11,LUZIÂNIA,0,"0,00",,
234,5215009,2020-04-04,2,NOVA VENEZA,0,,,
235,5216304,2020-04-04,5,PARANAIGUARA,0,,,
236,5218805,2020-04-04,24,RIO VERDE,0,"0,00",-Inf,decrescente
237,5220108,2020-04-04,2,SÃO LUÍS DE MONTES BELOS,0,,,
238,5220454,2020-04-04,2,SENADOR CANEDO,0,,,
239,5220603,2020-04-04,11,SILVÂNIA,0,"0,00",,
240,5221403,2020-04-04,4,TRINDADE,0,,,
241,5221858,2020-04-04,12,VALPARAÍSO DE GOIÁS,0,0.43,,
242,5300108,2020-04-04,18,BRASÍLIA,19,26.14,,
243,52,2020-04-05,25,GOIÁS,12,8.29,70.69,crescente
244,5200258,2020-04-05,9,ÁGUAS LINDAS DE GOIÁS,0,"0,00",,
245,5201108,2020-04-05,21,ANÁPOLIS,2,0.57,"50,00",crescente
246,5201405,2020-04-05,19,APARECIDA DE GOIÂNIA,0,0.29,,
247,5203500,2020-04-05,3,BOM JESUS DE GOIÁS,0,,,
248,5204607,2020-04-05,5,CAMPESTRE DE GOIÁS,0,,,
249,5205109,2020-04-05,15,CATALÃO,0,"0,00",,
250,5205497,2020-04-05,5,CIDADE OCIDENTAL,0,,,
251,5208608,2020-04-05,9,GOIANÉSIA,0,"0,00",,
252,5208707,2020-04-05,25,GOIÂNIA,8,5.71,"80,00",crescente
253,5211503,2020-04-05,7,ITUMBIARA,0,0.29,,
254,5211909,2020-04-05,19,JATAÍ,1,0.14,,
255,5212501,2020-04-05,12,LUZIÂNIA,0,"0,00",,
256,5215009,2020-04-05,3,NOVA VENEZA,0,,,
257,5216304,2020-04-05,6,PARANAIGUARA,0,,,
258,5218805,2020-04-05,25,RIO VERDE,1,0.14,"-300,00",decrescente
259,5220108,2020-04-05,3,SÃO LUÍS DE MONTES BELOS,0,,,
260,5220454,2020-04-05,3,SENADOR CANEDO,0,,,
261,5220603,2020-04-05,12,SILVÂNIA,0,"0,00",,
262,5221403,2020-04-05,5,TRINDADE,0,,,
263,5221858,2020-04-05,13,VALPARAÍSO DE GOIÁS,0,0.43,,
264,5300108,2020-04-05,19,BRASÍLIA,23,29.14,,
265,52,2020-04-06,26,GOIÁS,6,8.57,76.67,crescente
266,5200258,2020-04-06,10,ÁGUAS LINDAS DE GOIÁS,0,"0,00",,
267,5201108,2020-04-06,22,ANÁPOLIS,0,0.57,"100,00",crescente
268,5201405,2020-04-06,20,APARECIDA DE GOIÂNIA,0,0.29,,
269,5203500,2020-04-06,4,BOM JESUS DE GOIÁS,0,,,
270,5204607,2020-04-06,6,CAMPESTRE DE GOIÁS,0,,,
271,5205109,2020-04-06,16,CATALÃO,0,"0,00",,
272,5205497,2020-04-06,6,CIDADE OCIDENTAL,0,,,
273,5208608,2020-04-06,10,GOIANÉSIA,0,"0,00",,
274,5208707,2020-04-06,26,GOIÂNIA,0,5.43,81.58,crescente
275,5211503,2020-04-06,8,ITUMBIARA,0,"0,00",,
276,5211909,2020-04-06,20,JATAÍ,0,0.14,,
277,5212501,2020-04-06,13,LUZIÂNIA,5,0.71,,
278,5215009,2020-04-06,4,NOVA VENEZA,0,,,
279,5216304,2020-04-06,7,PARANAIGUARA,0,0.14,,
280,5218805,2020-04-06,26,RIO VERDE,0,0.14,"-200,00",decrescente
281,5220108,2020-04-06,4,SÃO LUÍS DE MONTES BELOS,0,,,
282,5220454,2020-04-06,4,SENADOR CANEDO,0,,,
283,5220603,2020-04-06,13,SILVÂNIA,0,"0,00",,
284,5221403,2020-04-06,6,TRINDADE,0,,,
285,5221858,2020-04-06,14,VALPARAÍSO DE GOIÁS,1,0.57,,
286,5300108,2020-04-06,20,BRASÍLIA,11,26.57,,
287,52,2020-04-07,27,GOIÁS,14,9.71,73.53,crescente
288,5200258,2020-04-07,11,ÁGUAS LINDAS DE GOIÁS,0,"0,00",,
289,5201108,2020-04-07,23,ANÁPOLIS,3,"1,00",85.71,crescente
290,5201405,2020-04-07,21,APARECIDA DE GOIÂNIA,0,0.29,"0,00",estavel
291,5203500,2020-04-07,5,BOM JESUS DE GOIÁS,0,,,
292,5204607,2020-04-07,7,CAMPESTRE DE GOIÁS,0,0.14,,
293,5205109,2020-04-07,17,CATALÃO,0,"0,00",,
294,5205497,2020-04-07,7,CIDADE OCIDENTAL,1,0.29,,
295,5208608,2020-04-07,11,GOIANÉSIA,4,0.57,,
296,5208707,2020-04-07,27,GOIÂNIA,3,5.29,72.97,crescente
297,5211503,2020-04-07,9,ITUMBIARA,0,"0,00",,
298,5211909,2020-04-07,21,JATAÍ,0,0.14,"0,00",estavel
299,5212501,2020-04-07,14,LUZIÂNIA,0,0.71,,
300,5214861,2020-04-07,1,NOVA GLÓRIA,1,,,
301,5215009,2020-04-07,5,NOVA VENEZA,0,,,
302,5216304,2020-04-07,8,PARANAIGUARA,0,"0,00",,
303,5218805,2020-04-07,27,RIO VERDE,0,0.14,"-100,00",decrescente
304,5220108,2020-04-07,5,SÃO LUÍS DE MONTES BELOS,1,,,
305,5220454,2020-04-07,5,SENADOR CANEDO,0,,,
306,5220603,2020-04-07,14,SILVÂNIA,0,"0,00",,
307,5221403,2020-04-07,7,TRINDADE,0,0.14,,
308,5221858,2020-04-07,15,VALPARAÍSO DE GOIÁS,0,0.43,,
309,5222005,2020-04-07,1,VIANÓPOLIS,1,,,
310,5300108,2020-04-07,21,BRASÍLIA,17,"25,00",16.57,crescente
311,52,2020-04-08,28,GOIÁS,22,11.71,75.61,crescente
312,5200258,2020-04-08,12,ÁGUAS LINDAS DE GOIÁS,0,"0,00",,
313,5201108,2020-04-08,24,ANÁPOLIS,1,1.14,87.5,crescente
314,5201405,2020-04-08,22,APARECIDA DE GOIÂNIA,0,0.29,"50,00",crescente
315,5203302,2020-04-08,1,BELA VISTA DE GOIÁS,1,,,
316,5203500,2020-04-08,6,BOM JESUS DE GOIÁS,0,,,
317,5204607,2020-04-08,8,CAMPESTRE DE GOIÁS,0,"0,00",,
318,5205109,2020-04-08,18,CATALÃO,0,"0,00",,
319,5205497,2020-04-08,8,CIDADE OCIDENTAL,0,0.14,,
320,5208509,2020-04-08,1,GOIANDIRA,1,,,
321,5208608,2020-04-08,12,GOIANÉSIA,2,0.86,,
322,5208707,2020-04-08,28,GOIÂNIA,9,6.14,76.74,crescente
323,5209101,2020-04-08,1,GOIATUBA,1,,,
324,5209200,2020-04-08,1,GUAPÓ,1,,,
325,5211503,2020-04-08,10,ITUMBIARA,1,0.14,,
326,5211909,2020-04-08,22,JATAÍ,1,0.29,"100,00",crescente
327,5212501,2020-04-08,15,LUZIÂNIA,0,0.71,,
328,5213756,2020-04-08,1,MONTIVIDIU,1,,,
329,5214861,2020-04-08,2,NOVA GLÓRIA,0,,,
330,5215009,2020-04-08,6,NOVA VENEZA,0,,,
331,5216304,2020-04-08,9,PARANAIGUARA,0,"0,00",,
332,5217401,2020-04-08,1,PIRES DO RIO,1,,,
333,5218805,2020-04-08,28,RIO VERDE,1,0.29,"-50,00",decrescente
334,5220108,2020-04-08,6,SÃO LUÍS DE MONTES BELOS,0,,,
335,5220454,2020-04-08,6,SENADOR CANEDO,0,,,
336,5220603,2020-04-08,15,SILVÂNIA,0,"0,00",,
337,5221403,2020-04-08,8,TRINDADE,1,0.14,,
338,5221858,2020-04-08,16,VALPARAÍSO DE GOIÁS,0,0.29,,
339,5222005,2020-04-08,2,VIANÓPOLIS,0,,,
340,5300108,2020-04-08,22,BRASÍLIA,17,19.86,-12.95,estavel
341,52,2020-04-09,29,GOIÁS,20,14.57,76.47,crescente
342,5200258,2020-04-09,13,ÁGUAS LINDAS DE GOIÁS,0,"0,00",,
343,5201108,2020-04-09,25,ANÁPOLIS,0,1.14,87.5,crescente
344,5201207,2020-04-09,1,ANHANGUERA,1,,,
345,5201405,2020-04-09,23,APARECIDA DE GOIÂNIA,0,0.29,"50,00",crescente
346,5203302,2020-04-09,2,BELA VISTA DE GOIÁS,0,,,
347,5203500,2020-04-09,7,BOM JESUS DE GOIÁS,0,0.14,,
348,5204607,2020-04-09,9,CAMPESTRE DE GOIÁS,0,"0,00",,
349,5205109,2020-04-09,19,CATALÃO,0,"0,00",,
350,5205497,2020-04-09,9,CIDADE OCIDENTAL,0,0.14,,
351,5208509,2020-04-09,2,GOIANDIRA,0,,,
352,5208608,2020-04-09,13,GOIANÉSIA,1,"1,00",,
353,5208707,2020-04-09,29,GOIÂNIA,17,8.43,76.27,crescente
354,5209101,2020-04-09,2,GOIATUBA,0,,,
355,5209200,2020-04-09,2,GUAPÓ,0,,,
356,5211503,2020-04-09,11,ITUMBIARA,0,0.14,,
357,5211909,2020-04-09,23,JATAÍ,0,0.29,"100,00",crescente
358,5212501,2020-04-09,16,LUZIÂNIA,0,0.71,,
359,5213756,2020-04-09,2,MONTIVIDIU,0,,,
360,5214861,2020-04-09,3,NOVA GLÓRIA,0,,,
361,5215009,2020-04-09,7,NOVA VENEZA,0,0.14,,
362,5216304,2020-04-09,10,PARANAIGUARA,0,"0,00",,
363,5217401,2020-04-09,2,PIRES DO RIO,0,,,
364,5218805,2020-04-09,29,RIO VERDE,1,0.43,"0,00",estavel
365,5220108,2020-04-09,7,SÃO LUÍS DE MONTES BELOS,0,0.29,,
366,5220454,2020-04-09,7,SENADOR CANEDO,0,0.14,,
367,5220603,2020-04-09,16,SILVÂNIA,0,"0,00",,
368,5221403,2020-04-09,9,TRINDADE,0,0.14,,
369,5221858,2020-04-09,17,VALPARAÍSO DE GOIÁS,0,0.29,,
370,5222005,2020-04-09,3,VIANÓPOLIS,0,,,
371,5300108,2020-04-09,23,BRASÍLIA,18,18.14,-22.83,decrescente
372,52,2020-04-10,30,GOIÁS,13,14.43,73.27,crescente
373,5200258,2020-04-10,14,ÁGUAS LINDAS DE GOIÁS,1,0.14,,
374,5201108,2020-04-10,26,ANÁPOLIS,0,1.14,87.5,crescente
375,5201207,2020-04-10,2,ANHANGUERA,0,,,
376,5201405,2020-04-10,24,APARECIDA DE GOIÂNIA,1,0.14,"0,00",estavel
377,5203302,2020-04-10,3,BELA VISTA DE GOIÁS,0,,,
378,5203500,2020-04-10,8,BOM JESUS DE GOIÁS,0,"0,00",,
379,5204607,2020-04-10,10,CAMPESTRE DE GOIÁS,0,"0,00",,
380,5205109,2020-04-10,20,CATALÃO,0,"0,00",,
381,5205497,2020-04-10,10,CIDADE OCIDENTAL,0,0.14,,
382,5208509,2020-04-10,3,GOIANDIRA,0,,,
383,5208608,2020-04-10,14,GOIANÉSIA,0,"1,00",,
384,5208707,2020-04-10,30,GOIÂNIA,7,8.43,71.19,crescente
385,5209101,2020-04-10,3,GOIATUBA,0,,,
386,5209200,2020-04-10,3,GUAPÓ,0,,,
387,5211503,2020-04-10,12,ITUMBIARA,2,0.43,,
388,5211909,2020-04-10,24,JATAÍ,0,0.29,"100,00",crescente
389,5212501,2020-04-10,17,LUZIÂNIA,0,0.71,,
390,5213756,2020-04-10,3,MONTIVIDIU,0,,,
391,5214861,2020-04-10,4,NOVA GLÓRIA,0,,,
392,5215009,2020-04-10,8,NOVA VENEZA,0,"0,00",,
393,5216304,2020-04-10,11,PARANAIGUARA,0,"0,00",,
394,5217401,2020-04-10,3,PIRES DO RIO,0,,,
395,5218391,2020-04-10,1,PROFESSOR JAMIL,1,,,
396,5218805,2020-04-10,30,RIO VERDE,1,0.57,"25,00",crescente
397,5220108,2020-04-10,8,SÃO LUÍS DE MONTES BELOS,0,0.14,,
398,5220454,2020-04-10,8,SENADOR CANEDO,0,"0,00",,
399,5220603,2020-04-10,17,SILVÂNIA,0,"0,00",,
400,5221403,2020-04-10,10,TRINDADE,0,0.14,,
401,5221858,2020-04-10,18,VALPARAÍSO DE GOIÁS,0,0.14,,
402,5222005,2020-04-10,4,VIANÓPOLIS,0,,,
403,5300108,2020-04-10,24,BRASÍLIA,0,"15,00",-45.71,decrescente
404,52,2020-04-11,31,GOIÁS,18,"15,00",64.76,crescente
405,5200258,2020-04-11,15,ÁGUAS LINDAS DE GOIÁS,0,0.14,,
406,5200506,2020-04-11,1,ALOÂNDIA,1,,,
407,5201108,2020-04-11,27,ANÁPOLIS,3,1.29,77.78,crescente
408,5201207,2020-04-11,3,ANHANGUERA,0,,,
409,5201405,2020-04-11,25,APARECIDA DE GOIÂNIA,1,0.29,"50,00",crescente
410,5203302,2020-04-11,4,BELA VISTA DE GOIÁS,0,,,
411,5203500,2020-04-11,9,BOM JESUS DE GOIÁS,0,"0,00",,
412,5204508,2020-04-11,2,CALDAS NOVAS,0,,,
413,5204607,2020-04-11,11,CAMPESTRE DE GOIÁS,0,"0,00",,
414,5205109,2020-04-11,21,CATALÃO,0,"0,00",-Inf,decrescente
415,5205497,2020-04-11,11,CIDADE OCIDENTAL,0,0.14,,
